Letter_ID,Location_Name,Site_Name,Coordinates,
1890.08.30.b,Old Buckenham,,"52.4802530, 1.0387773",
1890.08.30.b,Dunston,,"52.5709425, 1.2828132",
1890.08.30.b,Felmingham,," 52.8140620, 1.3362096",
1890.08.30.b,Feltwell,St Mary,"52.4858324, 0.5233676",
1890.08.30.b,Guestwick,," 52.7993389, 1.0508211",
1890.08.30.b,Halvergate,,"52.6059646, 1.5735582",
1890.08.30.b,Heigham,,"52.7196336, 1.5747217",
1890.08.30.b,Kimberley,," 52.5926164, 1.0528188",
1890.08.30.b,Langley,,"52.5543365, 1.4996883",
1890.08.30.c,Methwold,,"52.5221723, 0.5522738",
1890.08.30.c,Mileham,,"52.7397736, 0.8367634",
1890.08.30.c,Morston,,"52.9538947, 0.9851246",
1890.08.30.c,Newton Flotman,,"52.5371525, 1.2608483",
1890.08.30.c,Outwell,,"52.6095292, 0.2298770",
1890.08.30.c,Paston,,"52.8583852, 1.4433759",
1890.08.30.c,Little Plumstead,,"52.6576794, 1.4179244",
1890.08.30.c,Raveningham,,"52.5139275, 1.5301426",
1890.08.30.c,Reedham,,"52.5596025, 1.5659946",
1890.08.30.c,Scottow,," 52.7622815, 1.3765112",
1890.08.30.c,South Acre,,"52.6957525, 0.6772269",
1890.08.30.c,Sparham,,"52.7344563, 1.0700471",
1890.08.30.c,Stokesby,,"52.6389181, 1.5917907",
1890.08.30.c,Swanton Abbot,,"52.7798467, 1.3564659",
1890.08.30.c,Thwaite,,"52.8464315, 1.2627610",
1890.08.30.c,Tottington,,"52.5200710, 0.7971770",
1890.08.30.c,Trowse,,"52.6113090, 1.3208699",
1890.08.30.c,Trunch,," 52.8632029, 1.3931169",
1890.08.30.c,East Tuddenham,,"52.6591873, 1.0740694",
1890.08.30.c,North Tuddenham,,"52.6866809, 1.0157799",
1890.08.30.c,Upwell,,"52.6012339, 0.2205283",
1890.08.30.c,Watlington,,"52.6733651, 0.3914655",
1890.08.30.c,Wood Dalling,,"52.7996083, 1.0988598",
1890.08.30.c,Woodton,,"52.4980720, 1.3746839",
1890.08.30.c,Loddon,,"52.5348240, 1.4819363",
1890.08.30.c,Mattishall,," 52.6596767, 1.0282759",
1890.08.30.c,Merton,,"52.5534262, 0.8116361",
1890.09.13.b,Methwold,,"52.5221723, 0.5522738",
1890.09.19.b,Methwold,,"52.5221723, 0.5522738",
1890.09.19.b,Northwold,,"52.5441747, 0.5857510",
1890.09.19.b,Feltwell,,"52.4858324, 0.5233676",
1890.09.19.b,South Acre,,"52.6957525, 0.6772269",
1890.10.06.a,Felmingham,,"52.8140620, 1.3362096",
1890.10.06.a,Antingham,,"52.8509800, 1.3479335",
1890.10.06.a,Suffield,,"52.8458607, 1.3126036",
1890.10.06.a,Norwich,St Mary-Coslany,"52.6286060, 1.2922700",
1890.10.11.a,East Harling,,"52.4392521, 0.9326761",
1890.10.11.b,Stokesby,,"52.6389181, 1.5917907",
1890.10.23.a,Bawburgh,,"52.6322861, 1.1841299",
1890.10.23.a,Stokesby,,"52.6389181, 1.5917907",
